Keyword,Search Intent,Estimated Difficulty,Recommended Content Type,Stage,Notes
how does wound care work at a GP clinic,Informational,Low,Blog,Awareness,Matches WFP wound care service
what is a pathology collection centre,Informational,Low,Blog,Awareness,WFP has onsite pathology - key differentiator
how to read your blood test results,Informational,Low,Blog,Awareness,Adjacent - ties to pathology collection on site
what does a GP check in a full blood count,Informational,Low,Blog,Awareness,Adjacent - pathology education content
how to lower cholesterol naturally,Informational,Low,Blog,Adjacent,Nutritional advice service - very high volume
what foods are good for heart health,Informational,Low,Blog,Adjacent,Nutritional advice - broad appeal
how to manage high blood pressure without medication,Informational,Low,Blog,Adjacent,Disease management - very high search volume
what is the best diet for diabetes management,Informational,Low,Blog,Adjacent,Chronic disease management adjacent topic
how to improve sleep naturally,Informational,Low,Blog,Adjacent,Very high volume - mental health adjacent
signs of burnout and what to do,Informational,Low,Blog,Adjacent,Mental health adjacent - very relatable in Perth
how to manage anxiety without medication,Informational,Low,Blog,Adjacent,Mental health care plan gateway content
how to talk to your doctor about mental health,Informational,Low,Blog,Adjacent,Reduces barrier to booking mental health appointment
how much exercise should adults do per week,Informational,Low,Blog,Adjacent,Sports medicine and preventative health adjacent
how to prevent running injuries,Informational,Low,Blog,Adjacent,Sports medicine adjacent - popular in Perth
how to recover from a sports injury faster,Informational,Low,Blog,Adjacent,Sports medicine service gateway content
when should a sports injury see a doctor,Informational,Low,Blog,Adjacent,Sports medicine - clear gateway to booking
how to protect your skin from the sun in Australia,Informational,Low,Blog,Adjacent,Skin check gateway - massive in WA
what SPF sunscreen should I use in Perth,Informational,Low,Blog,Adjacent,Adjacent to skin checks - WA specific very high volume
skin cancer rates in Western Australia,Informational,Low,Blog,Adjacent,WA has highest skin cancer rate - very relevant
how to check your own skin for cancer,Informational,Low,Blog,Adjacent,Skin check gateway content - very high volume
what does melanoma look like,Informational,Low,Blog,Adjacent,Skin check gateway - very high search volume
warning signs of skin cancer in Australia,Informational,Low,Blog,Adjacent,Skin check gateway - WA extremely relevant
healthy travel tips for long haul flights,Informational,Low,Blog,Adjacent,Travel medicine adjacent - Perth is remote so huge search
how to avoid getting sick while travelling,Informational,Low,Blog,Adjacent,Travel medicine gateway content
food safety tips when travelling overseas,Informational,Low,Blog,Adjacent,Travel medicine adjacent topic
what to pack in a travel health kit,Informational,Low,Blog,Adjacent,Travel medicine adjacent - practical content
how to manage a chronic condition at work,Informational,Low,Blog,Adjacent,WorkCover and chronic disease management adjacent
what are my rights if injured at work in WA,Informational,Low,Blog,Adjacent,WorkCover adjacent - WA specific legal info
how to return to work after illness or injury,Informational,Low,Blog,Adjacent,WorkCover adjacent - practical recovery content
best ways to boost your immune system,Informational,Low,Blog,Adjacent,Immunisations and preventative health adjacent
how to prepare for flu season in Australia,Informational,Low,Blog,Adjacent,Immunisations adjacent - seasonal search spike
what is the difference between a cold and the flu,Informational,Low,Blog,Adjacent,Very high volume - seasonal content
how to manage hay fever in Perth,Informational,Low,Blog,Adjacent,Very Perth specific - seasonal allergy content
womens health checks what to expect,Informational,Low,Blog,Adjacent,Cervical screening and womens health adjacent
what age should women start cervical screening,Informational,Low,Blog,Adjacent,Directly supports WFP cervical screening service
mens health checks what to include,Informational,Low,Blog,Adjacent,Preventative health adjacent - mens health gap in Perth
how to talk to your GP about erectile dysfunction,Informational,Low,Blog,Adjacent,Mens health adjacent - high search low competition
heart health checks for men over 45,Informational,Low,Blog,Adjacent,Preventative health and ECG testing adjacent
how to manage stress during pregnancy,Informational,Low,Blog,Adjacent,Antenatal and womens health adjacent
what to expect at your first antenatal appointment,Informational,Low,Blog,Adjacent,Antenatal care mentioned in WFP longer appointments
healthy eating tips for busy families,Informational,Low,Blog,Adjacent,Nutritional advice adjacent - very broad appeal Perth families
how to get kids to eat healthier,Informational,Low,Blog,Adjacent,Family medicine adjacent - very high volume
childhood vaccinations schedule Australia,Informational,Low,Blog,Adjacent,Immunisations adjacent - very high search volume
when should children see a GP,Informational,Low,Blog,Adjacent,Family medicine gateway content
how to manage your childs asthma,Informational,Low,Blog,Adjacent,Disease management adjacent - paediatrics
signs your child needs to see a doctor urgently,Informational,Low,Blog,Adjacent,Family medicine - very high parental search volume
how to help elderly parents manage medications,Informational,Low,Blog,Adjacent,Aged care adjacent - growing Perth demographic
what health checks should over 65s have,Informational,Low,Blog,Adjacent,Aged care and health checks adjacent
signs of dementia what to watch for,Informational,Low,Blog,Adjacent,Aged care adjacent - high search volume
how to support a family member with chronic illness,Informational,Low,Blog,Adjacent,Disease management adjacent - carer audience
what is palliative care and when is it needed,Informational,Low,Blog,Adjacent,Aged care adjacent - sensitive but high search volume
